"gene"	"entrez"	"MCF7"	"VCAP"	"MCF7_s"	"X22RV1"	"LNCAP_s"	"DU145"	"LNCAP_g"	"PC3"
"ABI2"	10152	0.002415779	0.088600472	0.07211864	0.26521424	0.11737197	0.01823302	0.0627060988139	0.468756838584
"ABI3"	51225	0.22256125	0.09198003	0.36644706	0.11648974	0.02079253	0.21373212	-0.142185359856	-0.219170278402
"ABI3BP"	25890	0.1672982	0.2791181	-0.19598043	-0.11096304	-0.15895422	-0.07639267	0.436693352402	0.222518838165
"ABL1"	25	0.04610631	-0.24803735	0.2061902	0.2254531	0.1486879	0.1563114	-0.0230796969663	0.156355743623
"ABL2"	27	0.1236701	0.2743137	-0.02301448	0.19415631	-0.03164142	0.21013107	0.201267309878	0.749699099126
"ABLIM1"	3983	0.05436897	-0.04190793	0.147668	0.1400803	0.1610963	0.0950343	-0.214721956654	-0.0299938699886
"ABLIM2"	84448	-0.11176997	-0.03867496	-0.17371408	0.12631854	0.03910621	0.17427184	-0.413632142419	-0.0818440121236
"ABLIM3"	22885	0.13477093	0.06076333	0.04164137	-0.13027933	-0.09130703	-0.17856794	0.374208772717	0.351808599855
"ABR"	29	0.2101055	0.1597294	0.01130072	0.1528274	-0.16252804	-0.10418167	-0.796011634915	0.321466158457
"ABRA"	137735	-0.4288893	-0.1727435	-0.25567563	0.16943525	0.08588447	0.08319934	-0.0141870238394	0.32396442622
"ABRACL"	58527	0.07671998	0.06349821	0.23886887	0.11907609	0.10073134	0.07260745	0.133709289305	0.527256468343
"ABT1"	29777	-0.3576826	-0.9629518	-1.613849	-1.448164	-1.686742	-1.166383	-1.61202307677	-1.78996602235
"ABTB1"	80325	0.12293291	-0.09474741	-0.26826903	-0.03915867	-0.06272929	0.02728624	-0.354528734452	-0.245118380511
"ABTB2"	25841	-0.1670214	0.1119913	0.08457797	-0.10353865	0.10931302	0.14004237	0.271002478532	0.242296016315
"ACAA1"	30	-0.0618159	-0.07310527	0.1068303	0.1124701	0.1176504	0.1005467	-0.0196104436259	-0.00193766227425
